YearMade;WallType;RoofType;NumOfBedrooms;StovenFuelType;HeatingEquipmentType;HeatingEquipmentAge;NumOfRoomsHeated;FuelUsedForWaterHeating;WaterHeaterSize;AirConditioning;NumOfRoomsCooled;NumOfWindows;TotalSquareHeated;TotalSquareCooled;ElectricityConsumption
1980;Siding;;2;Electricity;Central Warm-Air Furnace;5-9 Years old;4;Electricity;Small;ИСТИНА;4;10;809;809;6335
1985;Brick;;-2;Electricity;Central Warm-Air Furnace;2-4 Years old;1;Natural Gas;Small;ИСТИНА;1;10;411;411;4031
1993;Siding;Composition Shingles;4;Electricity;Central Warm-Air Furnace;10-14 Years old;9;Electricity;Large;ИСТИНА;9;42;3680;3680;13020
1963;Siding;Composition Shingles;3;-;;Not Applicable;-2;Not Applicable;None;ИСТИНА;-1;41;0;247;2079
1940;Stone;Other;1;Natural Gas;Steam or Hot Water System;10-14 Years old;3;Natural Gas;Large;ЛОЖЬ;-1;41;592;0;2477
1992;Siding;Wood Shingles;2;Natural Gas;Central Warm-Air Furnace;2-4 Years old;5;Natural Gas;Medium;ЛОЖЬ;-1;41;1107;0;6877
1988;Siding;Asphalt;3;Electricity;Central Warm-Air Furnace;>20 Years old;12;Natural Gas;Large;ИСТИНА;12;42;3213;3213;12497
1958;Stucco;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;15-19 Years old;6;Natural Gas;Medium;ИСТИНА;6;30;2768;2768;12200
1972;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;15-19 Years old;6;Natural Gas;Medium;ИСТИНА;-1;30;1584;528;9187
1950;Composition;Composition Shingles;2;-;Central Warm-Air Furnace;5-9 Years old;4;Fuel Oil;None;ЛОЖЬ;-1;42;3042;0;13984
2000;Stucco;Ceramic or Clay Tiles;4;Natural Gas;Heat Pump;10-14 Years old;8;Natural Gas;Large;ИСТИНА;8;41;3184;3184;4413
1975;Siding;Asphalt;5;Electricity;Central Warm-Air Furnace;>20 Years old;9;Electricity;Medium;ИСТИНА;9;41;4055;3650;19041
1920;Siding;Asphalt;3;Natural Gas;Steam or Hot Water System;>20 Years old;5;Natural Gas;Medium;ЛОЖЬ;-1;41;663;0;3125
1991;Brick;;2;Electricity;Built-In Electric Units;15-19 Years old;5;Electricity;Medium;ИСТИНА;-1;41;2781;556;11688
1928;Wood;Composition Shingles;2;Natural Gas;Built-In Room Heater;>20 Years old;1;Natural Gas;Medium;ЛОЖЬ;-1;30;209;0;2170
1972;Siding;Metal;1;Electricity;;>20 Years old;-2;Electricity;Small;ИСТИНА;-1;60;0;200;2447
2000;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;4;Electricity;Large;ЛОЖЬ;-1;41;1149;0;13137
1978;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;7;Fuel Oil;Large;ИСТИНА;4;41;1365;624;11009
1970;Stucco;Wood Shingles;2;Electricity;;>20 Years old;-2;Electricity;Small;ЛОЖЬ;-1;20;0;0;6925
1976;Stucco;Composition Shingles;3;Electricity;Central Warm-Air Furnace;>20 Years old;7;Electricity;Medium;ИСТИНА;7;41;900;900;32493
1980;Wood;Composition Shingles;2;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Electricity;Medium;ИСТИНА;5;30;1342;1342;3222
1980;Stone;Composition Shingles;3;Electricity;Heat Pump;15-19 Years old;7;Electricity;Large;ИСТИНА;7;30;1598;1598;20250
1964;Siding;Composition Shingles;4;Electricity;Central Warm-Air Furnace;15-19 Years old;4;Electricity;Medium;ИСТИНА;4;30;971;971;19950
1983;Siding;Asphalt;3;-;Heat Pump;2-4 Years old;8;Electricity;Large;ИСТИНА;8;50;3422;3422;36967
1970;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;7;Natural Gas;None;ИСТИНА;7;41;3120;3120;7435
2000;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Electricity;Medium;ИСТИНА;5;41;1488;1488;31973
1995;Brick;;3;Electricity;Central Warm-Air Furnace;10-14 Years old;7;Electricity;Large;ИСТИНА;7;30;1260;1260;23414
1970;Brick;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;5;Natural Gas;Medium;ИСТИНА;5;41;1800;1800;10143
1997;Stucco;Concrete Tiles;4;Natural Gas;Central Warm-Air Furnace;10-14 Years old;7;Natural Gas;Large;ИСТИНА;7;41;1719;1719;15219
2000;Brick;;4;Electricity;Central Warm-Air Furnace;2-4 Years old;7;Natural Gas;Large;ИСТИНА;7;30;2831;2831;12634
1980;Brick;;-2;Electricity;Central Warm-Air Furnace;>20 Years old;1;Natural Gas;Large;ИСТИНА;1;20;527;527;4818
1984;Brick;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;>20 Years old;8;Natural Gas;Medium;ЛОЖЬ;-1;50;2144;0;8429
1968;Stucco;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Medium;ЛОЖЬ;-1;20;1131;0;2840
1970;Brick;;2;Electricity;Central Warm-Air Furnace;2-4 Years old;4;Natural Gas;Large;ИСТИНА;4;30;834;834;4369
1984;Siding;Metal;3;Electricity;Central Warm-Air Furnace;>20 Years old;4;Electricity;Medium;ИСТИНА;4;30;896;896;22070
1985;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Large;ИСТИНА;6;30;1420;1420;14517
1999;Concrete;;-2;Natural Gas;Floor or Wall Pipeless Furnace;10-14 Years old;1;Fuel Oil;Large;ЛОЖЬ;-1;41;1188;0;1634
1946;Wood;Composition Shingles;2;Electricity;Central Warm-Air Furnace;10-14 Years old;4;Natural Gas;Medium;ИСТИНА;4;30;677;677;1572
1979;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Electricity;Medium;ИСТИНА;5;41;1564;1564;12914
1920;Brick;Asphalt;2;Natural Gas;Steam or Hot Water System;>20 Years old;7;Electricity;Large;ИСТИНА;-1;30;806;115;3685
1971;Brick;Metal;4;-;Central Warm-Air Furnace;5-9 Years old;10;Electricity;Large;ИСТИНА;10;42;2403;2403;17752
1999;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;10-14 Years old;5;Natural Gas;Medium;ИСТИНА;5;30;1372;1372;7151
2005;Brick;Composition Shingles;4;-;Central Warm-Air Furnace;2-4 Years old;9;Natural Gas;Large;ИСТИНА;9;60;3191;3191;20079
2000;Brick;Composition Shingles;4;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Natural Gas;Small;ИСТИНА;7;41;1714;2400;14668
1972;Wood;Asphalt;3;Electricity;Steam or Hot Water System;10-14 Years old;6;Fuel Oil;None;ИСТИНА;-1;41;1155;770;16129
1955;Siding;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;2-4 Years old;6;Natural Gas;Medium;ЛОЖЬ;-1;41;2304;0;4468
1976;Siding;Composition Shingles;3;Electricity;Heating Stove;2-4 Years old;4;Electricity;Medium;ИСТИНА;-1;30;1437;558;42687
1970;Brick;Composition Shingles;3;Electricity;Steam or Hot Water System;<2 Years old;5;Electricity;Large;ИСТИНА;-1;30;1180;472;22657
1960;Wood;Wood Shingles;2;Electricity;Built-In Electric Units;10-14 Years old;4;Electricity;Medium;ИСТИНА;4;30;1323;1323;14287
1940;Concrete;;2;Electricity;Floor or Wall Pipeless Furnace;>20 Years old;4;Electricity;Large;ИСТИНА;-1;20;1209;907;8490
1920;Concrete;Composition Shingles;3;Electricity;Central Warm-Air Furnace;<2 Years old;5;Natural Gas;Medium;ИСТИНА;-1;30;1518;304;3305
1966;Stucco;Concrete Tiles;3;Natural Gas;Built-In Electric Units;2-4 Years old;5;Natural Gas;Large;ИСТИНА;5;41;1155;1155;8532
1992;Concrete;Ceramic or Clay Tiles;3;Electricity;Central Warm-Air Furnace;2-4 Years old;6;Electricity;Medium;ИСТИНА;6;41;1640;1640;11649
1970;Stucco;;1;Electricity;Portable Electric Heaters;2-4 Years old;2;Natural Gas;Large;ЛОЖЬ;-1;10;693;0;4381
2005;Siding;;2;Electricity;Built-In Electric Units;5-9 Years old;3;Natural Gas;Large;ИСТИНА;-1;10;802;267;3070
1992;Stucco;;2;Electricity;;5-9 Years old;-2;Natural Gas;Large;ИСТИНА;4;20;0;947;9398
1960;Brick;Asphalt;4;Electricity;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Small;ИСТИНА;5;41;1200;1200;16186
1985;Concrete;Ceramic or Clay Tiles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;3;Electricity;Medium;ИСТИНА;3;41;907;907;6618
1946;Brick;;-2;Natural Gas;Floor or Wall Pipeless Furnace;2-4 Years old;1;Fuel Oil;Large;ИСТИНА;-1;30;517;517;4230
1963;Brick;Metal;3;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Natural Gas;Medium;ИСТИНА;5;50;1842;1842;9728
1930;Brick;;1;Natural Gas;Steam or Hot Water System;>20 Years old;3;Natural Gas;Large;ИСТИНА;-1;30;452;151;2058
1960;Other;Composition Shingles;4;-;Central Warm-Air Furnace;>20 Years old;8;Natural Gas;Large;ИСТИНА;8;30;3080;3080;27067
1920;Siding;Asphalt;3;Electricity;Central Warm-Air Furnace;15-19 Years old;5;Electricity;Medium;ИСТИНА;-1;42;1802;1081;11226
1978;Siding;Wood Shingles;2;Propane/LPG;Central Warm-Air Furnace;<2 Years old;4;Electricity;Medium;ИСТИНА;-1;41;840;420;4475
1920;Siding;Asphalt;1;Natural Gas;Steam or Hot Water System;>20 Years old;3;Natural Gas;Medium;ЛОЖЬ;-1;30;694;0;3223
1995;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;15-19 Years old;6;Natural Gas;Small;ИСТИНА;6;30;2301;1576;6842
1970;Brick;;1;Natural Gas;Steam or Hot Water System;5-9 Years old;1;Natural Gas;Large;ИСТИНА;-1;20;125;375;2729
1920;Concrete;;1;Electricity;Central Warm-Air Furnace;10-14 Years old;3;Natural Gas;Small;ИСТИНА;3;20;680;680;3303
1939;Wood;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Electricity;Medium;ЛОЖЬ;-1;41;938;0;7376
1931;Brick;;-2;-;Steam or Hot Water System;5-9 Years old;1;Natural Gas;Large;ЛОЖЬ;-1;10;100;0;1525
2005;Brick;Composition Shingles;2;Electricity;Central Warm-Air Furnace;2-4 Years old;2;Electricity;Medium;ИСТИНА;2;20;847;847;20840
1970;Brick;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;<2 Years old;4;Electricity;Large;ИСТИНА;4;30;800;800;7508
1950;Wood;Composition Shingles;2;Natural Gas;;Not Applicable;-2;Natural Gas;Medium;ИСТИНА;-1;50;0;773;4118
1979;Siding;Composition Shingles;3;-;Heating Stove;10-14 Years old;5;Solar;Large;ЛОЖЬ;-1;60;2111;0;15542
1959;Wood;Composition Shingles;4;-;Central Warm-Air Furnace;5-9 Years old;9;Natural Gas;Large;ИСТИНА;9;60;4592;4592;26876
1994;Brick;Composition Shingles;4;Electricity;Central Warm-Air Furnace;15-19 Years old;6;Electricity;Medium;ИСТИНА;6;30;2312;2312;18628
1920;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;7;Natural Gas;Medium;ИСТИНА;7;50;2174;2174;7954
1967;Brick;;2;Natural Gas;Central Warm-Air Furnace;5-9 Years old;4;Natural Gas;Large;ИСТИНА;4;20;999;999;6727
1958;Siding;Composition Shingles;2;Other Fuel;Central Warm-Air Furnace;>20 Years old;3;Other Fuel;Medium;ИСТИНА;3;30;588;588;2624
1949;Brick;Asphalt;4;Natural Gas;Central Warm-Air Furnace;>20 Years old;7;Natural Gas;Small;ИСТИНА;7;41;1614;1614;7383
1980;Brick;;1;Electricity;Steam or Hot Water System;>20 Years old;3;Not Applicable;None;ИСТИНА;-1;30;596;398;1815
1972;Brick;Composition Shingles;3;Electricity;Heat Pump;5-9 Years old;7;Electricity;Large;ИСТИНА;7;41;1572;1572;13292
1960;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Medium;ИСТИНА;6;30;2480;1328;5453
1984;Siding;Asphalt;4;Electricity;Central Warm-Air Furnace;<2 Years old;10;Natural Gas;Medium;ИСТИНА;6;60;4430;2418;16240
1920;Concrete;Asphalt;4;Natural Gas;Steam or Hot Water System;5-9 Years old;7;Natural Gas;Large;ИСТИНА;-1;41;1474;1263;6729
1980;Siding;Metal;2;Electricity;Built-In Room Heater;5-9 Years old;3;Natural Gas;Medium;ИСТИНА;-1;41;540;180;10354
1995;Stucco;Wood Shingles;3;-;Central Warm-Air Furnace;5-9 Years old;7;Natural Gas;Large;ИСТИНА;7;41;1292;1292;4847
1986;Brick;Composition Shingles;3;-;Central Warm-Air Furnace;2-4 Years old;6;Electricity;Large;ИСТИНА;6;41;1862;1862;18563
1970;Wood;Asphalt;3;Electricity;Central Warm-Air Furnace;<2 Years old;5;Electricity;Medium;ИСТИНА;5;42;1304;1563;22836
2006;Brick;Composition Shingles;4;-;Central Warm-Air Furnace;2-4 Years old;8;Electricity;Medium;ИСТИНА;8;50;1590;1590;9660
1980;Composition;Wood Shingles;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;9;Natural Gas;Medium;ИСТИНА;9;50;2023;2023;4148
2007;Siding;Composition Shingles;3;Electricity;Heat Pump;2-4 Years old;5;Electricity;Medium;ИСТИНА;5;30;1431;1431;12458
1970;Stucco;Composition Shingles;2;Natural Gas;Floor or Wall Pipeless Furnace;>20 Years old;1;Natural Gas;Medium;ЛОЖЬ;-1;20;200;0;2771
1963;Siding;Asphalt;3;Natural Gas;Central Warm-Air Furnace;<2 Years old;6;Natural Gas;Medium;ИСТИНА;5;41;2005;1070;6719
1920;Wood;Asphalt;4;Electricity;Built-In Room Heater;2-4 Years old;2;Electricity;Medium;ЛОЖЬ;-1;50;720;0;8052
1972;Concrete;;3;Electricity;Built-In Electric Units;>20 Years old;4;Electricity;Large;ИСТИНА;-1;30;768;192;8240
1964;Siding;;2;Natural Gas;Steam or Hot Water System;>20 Years old;3;Natural Gas;Medium;ИСТИНА;-1;60;545;182;4069
2006;Stucco;;-2;Electricity;Built-In Electric Units;2-4 Years old;1;Natural Gas;Large;ЛОЖЬ;-1;20;330;0;3164
1923;Brick;;-2;Natural Gas;Steam or Hot Water System;2-4 Years old;1;Fuel Oil;Large;ИСТИНА;-1;10;313;313;1243
1954;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;<2 Years old;5;Natural Gas;Medium;ИСТИНА;-1;41;2947;246;22494
1990;Wood;Wood Shingles;4;Electricity;Central Warm-Air Furnace;15-19 Years old;5;Natural Gas;Medium;ИСТИНА;-1;30;1780;356;6851
2001;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;7;Natural Gas;Medium;ЛОЖЬ;-1;41;2992;0;15929
1970;Composition;Composition Shingles;4;Natural Gas;Steam or Hot Water System;10-14 Years old;8;Natural Gas;Medium;ИСТИНА;-1;30;3218;1207;10453
1962;Brick;Asphalt;3;Natural Gas;Steam or Hot Water System;>20 Years old;5;Electricity;Large;ИСТИНА;-1;42;1088;435;5402
1958;Wood;Asphalt;5;Electricity;Central Warm-Air Furnace;10-14 Years old;9;Electricity;Medium;ИСТИНА;8;30;2190;1947;12410
1978;Brick;Composition Shingles;1;Electricity;Central Warm-Air Furnace;10-14 Years old;3;Electricity;Small;ИСТИНА;3;30;967;967;5852
1920;Wood;Asphalt;2;Electricity;Central Warm-Air Furnace;15-19 Years old;5;Electricity;Medium;ИСТИНА;-1;41;1701;340;5785
2000;Siding;Asphalt;3;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Electricity;Medium;ИСТИНА;5;30;1232;1232;17144
1950;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;2-4 Years old;4;Natural Gas;Medium;ЛОЖЬ;-1;50;791;0;6548
1925;Siding;;4;Natural Gas;Steam or Hot Water System;>20 Years old;6;Electricity;Medium;ЛОЖЬ;-1;42;1286;0;5983
1986;Stucco;Ceramic or Clay Tiles;2;Electricity;Built-In Electric Units;2-4 Years old;2;Natural Gas;Small;ИСТИНА;-1;20;408;204;7767
1990;Siding;Composition Shingles;2;Electricity;Heat Pump;2-4 Years old;3;Electricity;Medium;ИСТИНА;3;41;940;940;13644
1970;Siding;;2;Electricity;Built-In Electric Units;>20 Years old;4;Electricity;Large;ИСТИНА;-1;20;804;201;4693
1920;Brick;;1;Electricity;Steam or Hot Water System;>20 Years old;3;Natural Gas;Large;ЛОЖЬ;-1;20;619;0;4010
1980;Brick;;1;Electricity;Central Warm-Air Furnace;5-9 Years old;3;Natural Gas;Small;ИСТИНА;3;20;729;729;1781
1960;Wood;Composition Shingles;4;Electricity;Portable Electric Heaters;>20 Years old;7;Electricity;Large;ЛОЖЬ;-1;30;2016;0;35091
1954;Siding;Composition Shingles;3;Natural Gas;Portable Electric Heaters;<2 Years old;2;Natural Gas;Medium;ЛОЖЬ;-1;60;437;0;3149
1978;Siding;Composition Shingles;5;-;Central Warm-Air Furnace;2-4 Years old;9;Electricity;Medium;ИСТИНА;9;50;3417;3417;18212
1998;Siding;;1;Electricity;Central Warm-Air Furnace;10-14 Years old;3;Natural Gas;Small;ИСТИНА;3;20;1009;1009;4501
1991;Concrete;Wood Shingles;3;Electricity;Central Warm-Air Furnace;2-4 Years old;5;Electricity;Small;ИСТИНА;5;20;1835;1835;10114
1986;Stucco;;2;Electricity;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Small;ИСТИНА;5;20;827;827;8936
1979;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;2-4 Years old;8;Electricity;Large;ЛОЖЬ;-1;41;2137;0;8604
1980;Brick;Wood Shingles;4;Electricity;Central Warm-Air Furnace;>20 Years old;8;Electricity;Large;ИСТИНА;8;30;1697;1697;23981
1954;Brick;Composition Shingles;4;Electricity;Central Warm-Air Furnace;>20 Years old;3;Natural Gas;Medium;ЛОЖЬ;-1;60;833;0;7038
1980;Stone;Composition Shingles;3;Electricity;Heat Pump;5-9 Years old;7;Electricity;Medium;ИСТИНА;7;42;2858;2858;8537
1968;Siding;Metal;3;Natural Gas;Central Warm-Air Furnace;15-19 Years old;7;Natural Gas;Medium;ЛОЖЬ;-1;41;648;0;3658
1984;Siding;Metal;3;Electricity;Cooking Stove;2-4 Years old;5;Electricity;Small;ЛОЖЬ;-1;30;910;0;24166
2005;Stone;Composition Shingles;3;-;Central Warm-Air Furnace;2-4 Years old;9;Electricity;Large;ЛОЖЬ;-1;60;3829;0;24698
1930;Brick;Other;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;7;Natural Gas;Large;ИСТИНА;-1;30;1597;228;5876
1979;Stucco;;1;Electricity;;5-9 Years old;-2;Natural Gas;Large;ИСТИНА;4;10;0;890;11579
2000;Siding;;1;Electricity;Central Warm-Air Furnace;10-14 Years old;3;Electricity;Small;ИСТИНА;3;10;544;544;4641
2003;Concrete;Asphalt;5;Electricity;Central Warm-Air Furnace;5-9 Years old;4;Natural Gas;Medium;ИСТИНА;7;41;1771;1083;12658
1972;Brick;Composition Shingles;3;-;Central Warm-Air Furnace;5-9 Years old;7;Electricity;Medium;ИСТИНА;7;41;1392;1392;11797
1940;Siding;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Small;ИСТИНА;5;30;1578;1578;10928
1960;Brick;;3;Natural Gas;Central Warm-Air Furnace;2-4 Years old;6;Natural Gas;Large;ЛОЖЬ;-1;20;667;0;4150
1982;Brick;Asphalt;4;-;Central Warm-Air Furnace;10-14 Years old;7;Natural Gas;Medium;ИСТИНА;7;41;1880;1880;28797
1956;Siding;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Small;ИСТИНА;-1;41;1200;400;4647
1970;Siding;Composition Shingles;2;Electricity;Central Warm-Air Furnace;10-14 Years old;4;Electricity;Large;ИСТИНА;4;30;840;840;28058
1988;Stucco;;3;Natural Gas;Central Warm-Air Furnace;<2 Years old;2;Natural Gas;Medium;ИСТИНА;5;20;421;1053;5649
2003;Siding;Composition Shingles;4;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Medium;ИСТИНА;6;41;3561;3561;13559
1970;Brick;Composition Shingles;3;-;Central Warm-Air Furnace;>20 Years old;6;Natural Gas;Large;ИСТИНА;6;30;1344;1344;14598
1953;Brick;Composition Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;6;Electricity;Medium;ИСТИНА;6;41;2992;2992;14943
1952;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;15-19 Years old;7;Natural Gas;Medium;ИСТИНА;7;41;1374;1374;7089
1956;Siding;Composition Shingles;3;Natural Gas;Steam or Hot Water System;15-19 Years old;6;Natural Gas;Small;ЛОЖЬ;-1;30;1115;0;3977
2001;Brick;Composition Shingles;3;Electricity;Heat Pump;5-9 Years old;10;Natural Gas;Large;ИСТИНА;10;50;3200;3200;19055
2005;Concrete;Asphalt;1;Natural Gas;Central Warm-Air Furnace;<2 Years old;3;Natural Gas;Medium;ИСТИНА;-1;20;414;138;1790
1980;Siding;;3;Electricity;Central Warm-Air Furnace;2-4 Years old;6;Electricity;Medium;ИСТИНА;6;30;1362;1362;13374
1920;Stucco;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;>20 Years old;5;Natural Gas;Small;ИСТИНА;-1;30;875;175;8501
1965;Brick;;2;Natural Gas;Steam or Hot Water System;>20 Years old;5;Natural Gas;Large;ИСТИНА;5;10;912;912;9630
1960;Brick;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;2;Natural Gas;Small;ИСТИНА;5;50;480;1201;11481
1970;Stone;;-2;Natural Gas;Central Warm-Air Furnace;2-4 Years old;1;Electricity;Large;ИСТИНА;1;30;638;638;7852
1988;Brick;Asphalt;4;-;Central Warm-Air Furnace;>20 Years old;8;Electricity;Medium;ИСТИНА;9;42;1823;1696;5160
2000;Brick;Composition Shingles;4;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Electricity;Large;ЛОЖЬ;-1;41;2552;0;15459
1971;Siding;Composition Shingles;4;Electricity;Central Warm-Air Furnace;>20 Years old;7;Electricity;Medium;ИСТИНА;7;50;2071;2071;10802
1940;Wood;Composition Shingles;4;Natural Gas;Central Warm-Air Furnace;10-14 Years old;6;Natural Gas;Medium;ЛОЖЬ;-1;42;1869;0;3386
1947;Brick;Concrete Tiles;4;Electricity;Central Warm-Air Furnace;>20 Years old;4;Electricity;Medium;ИСТИНА;8;42;1730;3459;18196
1920;Siding;;3;Electricity;Floor or Wall Pipeless Furnace;5-9 Years old;5;Natural Gas;Medium;ИСТИНА;-1;42;1177;235;7770
1945;Wood;Composition Shingles;4;Electricity;Central Warm-Air Furnace;10-14 Years old;9;Electricity;Medium;ЛОЖЬ;-1;60;1674;0;15351
2004;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;7;Natural Gas;Medium;ИСТИНА;7;30;1545;1545;13161
1952;Siding;Composition Shingles;1;Natural Gas;Central Warm-Air Furnace;10-14 Years old;4;Natural Gas;Large;ИСТИНА;-1;41;899;450;3260
1982;Brick;Wood Shingles;4;Electricity;Central Warm-Air Furnace;2-4 Years old;7;Electricity;Medium;ИСТИНА;7;30;1900;1900;29395
1968;Brick;;-2;Natural Gas;Steam or Hot Water System;10-14 Years old;1;Natural Gas;Large;ЛОЖЬ;-1;10;313;0;3437
1955;Stone;Wood Shingles;4;Electricity;Heating Stove;>20 Years old;6;Electricity;Large;ЛОЖЬ;-1;41;2438;0;31247
1940;Wood;Composition Shingles;3;Natural Gas;Central Warm-Air Furnace;>20 Years old;2;Natural Gas;Large;ИСТИНА;-1;41;437;437;11247
2000;Brick;Asphalt;2;Electricity;Central Warm-Air Furnace;5-9 Years old;5;Electricity;Medium;ИСТИНА;5;20;1183;1183;16164
1950;Brick;Composition Shingles;2;Electricity;Central Warm-Air Furnace;5-9 Years old;4;Natural Gas;Small;ИСТИНА;4;42;1499;1499;7060
1994;Wood;Asphalt;4;Natural Gas;Central Warm-Air Furnace;5-9 Years old;8;Natural Gas;Large;ЛОЖЬ;-1;41;2592;0;10156
1970;Concrete;Asphalt;2;Electricity;Steam or Hot Water System;5-9 Years old;4;Natural Gas;Small;ИСТИНА;-1;20;912;228;5780
1950;Wood;Wood Shingles;3;Electricity;Central Warm-Air Furnace;<2 Years old;6;Natural Gas;Medium;ЛОЖЬ;-1;50;1850;0;10805
1960;Brick;Composition Shingles;4;Electricity;Steam or Hot Water System;>20 Years old;7;Wood;Small;ИСТИНА;7;41;1573;1573;10013
1958;Siding;Composition Shingles;3;Propane/LPG;Built-In Room Heater;10-14 Years old;6;Electricity;Small;ИСТИНА;-1;41;1699;566;11162
1950;Siding;Composition Shingles;3;Electricity;Central Warm-Air Furnace;5-9 Years old;6;Electricity;Medium;ЛОЖЬ;-1;50;4500;0;12528
1960;Siding;Asphalt;4;-;Central Warm-Air Furnace;2-4 Years old;4;Natural Gas;Small;ИСТИНА;4;41;989;989;4750
1960;Wood;Composition Shingles;3;Electricity;Central Warm-Air Furnace;10-14 Years old;7;Natural Gas;Large;ЛОЖЬ;-1;41;1632;0;5203
1953;Stucco;Composition Shingles;2;Natural Gas;Central Warm-Air Furnace;5-9 Years old;6;Natural Gas;Medium;ИСТИНА;6;42;1966;1966;18944
